Repeats,PH_1515_norm,PH_1515_BP_norm,PH_1515_STD_norm,PH_1430_norm,PH_1430_BP_norm,PH_1430_STD_norm,Py_Devol_1430,Py_Devol_1515,H2OT_MEAN,H2OT_STD,CO2_MEAN,CO2_STD
CI_LMT_BA17,0.11774150038240713,0.12509944351188146,0.00041179379965327706,0.10997867180173762,0.12521220728393406,0.0005483657350373986,0.010620567228958258,0.007836304142648175,0.04252788300214751,0.0066201262821627225,1199.873547243917,186.00321775794674
CI_LMT_BA3,,,,,,,,,,,,
CI_LMT_BA4,,,,,,,,,,,,
CI_Ref_10,0.08052932746303866,0.07042836768271252,0.0016861910773794291,0.1242365168093299,0.10915801613858332,0.0019211567691601874,0.010623027418644005,0.00809260730806452,0.021567397101555086,0.013067123262041102,822.0069606498486,133.41870485564513
CI_Ref_11,0.044338144183821926,0.05892911730328791,0.00042607372358127325,0.05937853144503029,0.06242208907384762,0.0008740268507885339,0.008882092434169583,0.024028150922288626,0.10447671078764556,0.017065382201662708,594.6343930940864,66.64924077596508
CI_Ref_14,0.04031548084944974,0.03706276023463153,7.692781378782035e-05,0.04390485774033865,0.0377977431412535,0.00017166330911400394,0.009197312081782724,0.0009885800625205278,0.03259227113779842,0.007500912865990087,385.7728745853058,38.63586904024179
CI_Ref_15,0.023209544420334082,0.01877760650477105,0.0003567729420415967,0.02615899803632738,0.029907063574040833,0.0005806697177181974,0.0702707211885672,0.04693821165284601,0.06425354626798184,0.11416896334441043,260.75487251416354,173.0923426870325
CI_Ref_18,0.03940778296278262,0.03762240028944127,0.00045677271613763485,0.03274594840156261,0.030251564851043047,0.0007589949020907451,0.026502313641399388,0.03843007488039726,0.04225733525299171,0.010213840411396254,303.44729157450024,34.64689743906755
CI_Ref_20,0.02718632108485969,0.034998490130357135,0.002302715299993611,0.029627105919404335,0.03434311990234115,0.0027877593412114535,0.05131672105676,0.052901803356451886,0.05106226611999761,0.01909404938516155,318.7328294659322,102.93827281211699
CI_Ref_23,0.012096238175355592,0.02041058742137434,0.00028769781989433787,0.006025160133628904,0.012731152511332383,0.0006609388490352044,0.029124973259195688,0.05201401083796622,0.017786670630748277,0.0018550595402101367,159.71860366808133,7.916659541263095
CI_Ref_24,0.014610119244233902,0.004323647382718013,0.00023620308481643728,0.01617406418114624,0.005732534643620326,0.00020567646199801253,0.16338667291489584,0.11676846368579344,0.03432968131869981,0.004251424213213399,46.11876828037674,4.36470982237257
CI_Ref_25,0.1396996971744452,0.12346692109968782,0.0015146836266903465,0.13800661266903325,0.1256511172418957,0.0019336069077971986,0.010584246667041062,0.014537418012006396,0.16946429560278725,0.015171623848694717,1882.852653695054,66.82163522548925
CI_Ref_27,0.07990875772955042,0.07217168907707064,0.00193735869148338,0.07686711670183076,0.07624809507457922,0.00280792008343311,0.03050608884967531,0.030764724931216618,0.12104281174981531,0.028702096870931237,701.0013721600963,97.44104550573016
CI_Ref_28,0.09886339462630511,0.08924434885058656,0.00010861427962702032,0.09632635625392473,0.08982786918075905,0.0001673679676086679,0.010402262261950172,0.010563315084952821,0.01923445239492956,0.003562647530334113,846.3304773767537,64.7818507664482
CI_Ref_4,0.04366898007105885,0.04015515350777115,0.00029944185633185325,0.04561219272575319,0.046105930740538786,0.0005416555562692135,0.0030035438494288007,8.830568530380755e-05,0.05352558450707443,0.0017893042082004974,409.31283921737395,6.097365042397773
CI_Ref_6,0.016635947384052226,0.01249139219058701,0.0007824305530252882,0.01559982525802784,0.01602045217092896,0.0011045341311478895,0.013037068843751753,0.019528147941270047,0.02672047202705292,0.00594519774782286,126.19330505420794,31.37100687752574
CI_Ref_8,0.052847143278375974,0.043619654245566054,0.00023070489244703427,0.05117190235434434,0.04399545337208308,0.0003352867006008461,0.01110331634152692,0.013140661797450477,0.04780430032044584,0.0038976231764893815,440.25397404913315,16.416598304369572
CI_Ref_9,0.03245820573524688,0.02415108611513103,0.00015944816229657312,0.029975191301573903,0.02456513902706638,0.00037373878356943,0.0041807366668465745,0.006286420565320156,0.039407137311399304,0.0032247185208136775,260.1863818297256,9.695134706737848
CI_Ref_bas_3,0.07847380898176226,0.07169261293490972,0.0013501821257773682,0.07529894581804757,0.06943138931328838,0.001748952343887149,0.027918294570939545,0.03322308019694325,0.14729904065855665,0.027053081202295624,744.8754217185174,148.97095912499782
CI_Ref_bas_4,,,,,,,,,,,,
CI_Ref_bas_5,0.018318549533211635,0.019372542026451472,0.0004021244170533372,0.018100942742524082,0.018417012964486376,0.00036410352837659823,0.009616118661568713,0.0051883079280593426,0.027804469621433223,0.009466462768292485,200.86891367939205,4.7100787212695
CI_Ref_bas_6,0.08962440266381462,0.11887153272000114,0.0004893126895252284,0.08686040585192661,0.11160034240068131,0.0005629317227655092,0.03441123158615271,0.04894317299356378,0.035404329764131895,0.006468624110914411,1265.5303969290455,58.0206895658719
CI_Ref_bas_7,0.05351221453685192,0.06364490173102731,0.0008672078326995986,0.04931554050392179,0.05583332694702861,0.0010243490248025657,0.04467936523229792,0.04705944126670107,0.02316759628431777,0.025847752265786807,607.6105227249883,89.19716068724163
CI_Ref_bas_8,0.059754342756368706,0.06280575181643974,0.001354862244980464,0.05760088524333121,0.06021762516509564,0.0019645334710077476,0.049342033398706193,0.039529637867615874,0.10469068359139522,0.03920198667250204,634.2764897805124,117.7490174792499
CI_Ref_bas_9,0.09583009912165169,0.09021625585515024,0.0001949654302292231,0.09336934448245941,0.08450258677520199,0.0002022597992949448,0.006892172249069732,0.002118386391531544,0.7464180016608837,0.13230734117951096,2777.631515135529,423.34649107499195
ND70-2,0.01134848115777805,0.011820673174756777,4.7212386011339325e-07,0.00617296177774268,0.011149341942938852,2.9928992023726012e-05,0.022807112160446945,0.001361154770874081,0.19257814097232398,0.030338568413089618,109.50937700489565,10.661046247291353
ND70-3,0.03205395752123286,0.04002416821286303,0.0029327662954868614,0.028411197497737625,0.035229008928841794,0.003377519976206925,0.06675761603853425,0.05842572809616275,0.8664207123943697,0.2094173162431331,372.96288901494097,95.3535643399692
ND70-4,0.06656248633128466,0.06569909576438036,0.00136656745664612,0.06555945412164378,0.0600783549401441,0.0016817122289142035,0.022796411004973878,0.024501303929348694,0.8100179985908493,0.1121783479780226,590.1074848922877,75.75239485304078
ND70-5,0.17249169510457207,0.16438027646136874,0.00040740066127118655,0.16305951713495795,0.1549245106971492,0.001113849939988014,0.007150282249427739,0.003051196183488097,0.6186959145158458,0.06700215018932114,1681.3123867618026,130.4792396352997
ND70-6,0.17047691687292313,0.12361030480041907,0.003941601271706944,0.21964207306618277,0.17176346509543558,0.005416270362767889,0.015980963856826746,0.02520442092083361,0.5038653493426584,1.583667821915249,1419.2842994413843,1096.787300726061
