Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
21ALV1846-9_44x44_s1_EP_103um,49.67,0.57,17.45,0.0,7.03,0.16,6.95,13.46,2.07,0.71,0.13
21ALV1846-9_44x44_s2_EP_103um,49.67,0.57,17.45,0.0,7.03,0.16,6.95,13.46,2.07,0.71,0.13
21ALV1846-9_44x44_s3_EP_103um,49.67,0.57,17.45,0.0,7.03,0.16,6.95,13.46,2.07,0.71,0.13
23WOK5-4_44x44_s1_EP_147um,50.88,1.27,17.22,0.0,8.11,0.15,7.57,10.74,3.15,0.19,0.16
23WOK5-4_44x44_s2_EP_147um,50.88,1.27,17.22,0.0,8.11,0.15,7.57,10.74,3.15,0.19,0.16
23WOK5-4_44x44_s3_EP_147um,50.88,1.27,17.22,0.0,8.11,0.15,7.57,10.74,3.15,0.19,0.16
ALV1833-11_44x44_s1_EP_108um,51.13,1.04,17.16,0.0,7.55,0.15,7.55,11.92,2.86,0.25,0.18
ALV1833-11_44x44_s2_EP_108um,51.13,1.04,17.16,0.0,7.55,0.15,7.55,11.92,2.86,0.25,0.18
ALV1833-11_44x44_s3_EP_108um,51.13,1.04,17.16,0.0,7.55,0.15,7.55,11.92,2.86,0.25,0.18
CD33_12-2-2_VG9764_44x44_s1_EP_105um,50.8,1.68,14.02,0.0,12.14,0.22,6.75,11.01,2.56,0.09,0.12
CD33_12-2-2_VG9764_44x44_s2_EP_105um,50.8,1.68,14.02,0.0,12.14,0.22,6.75,11.01,2.56,0.09,0.12
CD33_12-2-2_VG9764_44x44_s3_EP_105um,50.8,1.68,14.02,0.0,12.14,0.22,6.75,11.01,2.56,0.09,0.12
CD33_22-1-1_VG9812_44x44_s1_EP_73um,51.3,1.01,14.87,0.0,9.53,0.17,7.72,12.32,2.12,0.07,0.07
CD33_22-1-1_VG9812_44x44_s2_EP_73um,51.3,1.01,14.87,0.0,9.53,0.17,7.72,12.32,2.12,0.07,0.07
CD33_22-1-1_VG9812_44x44_s3_EP_73um,51.3,1.01,14.87,0.0,9.53,0.17,7.72,12.32,2.12,0.07,0.07
Fiege63_256s,46.78,2.72,14.87,0.0,10.57,0.14,10.52,9.8,2.93,0.92,0.4
Fiege63_256s_2,46.78,2.72,14.87,0.0,10.57,0.14,10.52,9.8,2.93,0.92,0.4
Fiege63_256s_3,46.78,2.72,14.87,0.0,10.57,0.14,10.52,9.8,2.93,0.92,0.4
Fiege73_2_256s,46.78,2.72,14.87,0.0,10.57,0.14,10.52,9.8,2.93,0.92,0.4
Fiege73_256s,46.78,2.72,14.87,0.0,10.57,0.14,10.52,9.8,2.93,0.92,0.4
Fiege73_256s_2,46.78,2.72,14.87,0.0,10.57,0.14,10.52,9.8,2.93,0.92,0.4
Fiege73_256s_2_highres,46.78,2.72,14.87,0.0,10.57,0.14,10.52,9.8,2.93,0.92,0.4
ETFSR_Ol8_256s,45.38,0.78,8.74,2.66,6.2,0.17,16.1,11.8,1.48,0.66,0.34
ETFSR_Ol8_256s_2,45.38,0.78,8.74,2.66,6.2,0.17,16.1,11.8,1.48,0.66,0.34
ETFSR_Ol8_highres_256s,45.38,0.78,8.74,2.66,6.2,0.17,16.1,11.8,1.48,0.66,0.34
STD_C1'_256s_20x50,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_ETFS_15x20_256s_2,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETFS_15x25_256s,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
VF74_127-7_101220_256s_15x20_a,51.37,1.11,17.3,1.85,7.4,0.17,3.79,7.56,3.66,0.85,0.22
VF74_127-7_101220_256s_15x20_b,51.37,1.11,17.3,1.85,7.4,0.17,3.79,7.56,3.66,0.85,0.22
VF74_127-7_101220_256s_15x20_c,51.37,1.11,17.3,1.85,7.4,0.17,3.79,7.56,3.66,0.85,0.22
VF74_131-1_101220_256s_25x50_a,52.99,1.05,16.86,1.85,7.38,0.18,4.43,7.43,1.06,0.96,0.16
VF74_131-1_101220_256s_25x50_b,52.99,1.05,16.86,1.85,7.38,0.18,4.43,7.43,1.06,0.96,0.16
VF74_131-1_101220_256s_25x50_c,52.99,1.05,16.86,1.85,7.38,0.18,4.43,7.43,1.06,0.96,0.16
VF74_131-9_MI1_101220_256s_15x30_a,51.22,1.2,16.91,1.96,7.83,0.22,4.22,7.87,3.41,0.88,0.18
VF74_131-9_MI1_101220_256s_15x30_b,51.22,1.2,16.91,1.96,7.83,0.22,4.22,7.87,3.41,0.88,0.18
VF74_131-9_MI1_101220_256s_15x30_c,51.22,1.2,16.91,1.96,7.83,0.22,4.22,7.87,3.41,0.88,0.18
VF74_131-9_MI2_101220_256s_20x25_a,51.01,1.17,16.8,1.93,7.74,0.19,4.27,8.64,3.72,0.84,0.12
VF74_131-9_MI2_101220_256s_20x25_b,51.01,1.17,16.8,1.93,7.74,0.19,4.27,8.64,3.72,0.84,0.12
VF74_131-9_MI2_101220_256s_20x25_c,51.01,1.17,16.8,1.93,7.74,0.19,4.27,8.64,3.72,0.84,0.12
VF74_132-1_101220_256s_40x50_a,50.92,1.06,18.14,1.86,7.43,0.17,3.64,8.01,4.1,0.85,0.23
VF74_132-1_101220_256s_40x50_b,50.92,1.06,18.14,1.86,7.43,0.17,3.64,8.01,4.1,0.85,0.23
VF74_132-1_101220_256s_40x50_c,50.92,1.06,18.14,1.86,7.43,0.17,3.64,8.01,4.1,0.85,0.23
VF74_132-2_101220_256s_20x25_a,52.93,1.17,16.43,1.92,7.67,0.18,4.17,7.47,0.95,0.95,0.15
VF74_132-2_101220_256s_20x25_b,52.93,1.17,16.43,1.92,7.67,0.18,4.17,7.47,0.95,0.95,0.15
VF74_132-2_101220_256s_20x25_c,52.93,1.17,16.43,1.92,7.67,0.18,4.17,7.47,0.95,0.95,0.15
VF74_134D-15_101220_256s_15x25_a,49.27,0.9,18.68,1.76,7.06,0.2,3.42,9.28,3.18,0.63,0.19
VF74_134D-15_101220_256s_15x25_b,49.27,0.9,18.68,1.76,7.06,0.2,3.42,9.28,3.18,0.63,0.19
VF74_134D-15_101220_256s_15x25_c,49.27,0.9,18.68,1.76,7.06,0.2,3.42,9.28,3.18,0.63,0.19
VF74_136-3_101220_256s_20x30_a,51.39,1.23,17.05,1.7,6.8,0.15,4.06,8.05,3.89,0.91,0.19
VF74_136-3_101220_256s_20x30_b,51.39,1.23,17.05,1.7,6.8,0.15,4.06,8.05,3.89,0.91,0.19
VF74_136-3_101220_256s_20x30_c,51.39,1.23,17.05,1.7,6.8,0.15,4.06,8.05,3.89,0.91,0.19
FR01MI02a,43.71,1.1,17.1,,12.13,0.18,3.62,8.19,1.42,7.49,0.14
FR01MI02b,43.71,1.1,17.1,,12.13,0.18,3.62,8.19,1.42,7.49,0.14
FR01MI02c,43.71,1.1,17.1,,12.13,0.18,3.62,8.19,1.42,7.49,0.14
FR01MI03a,48.01,1.05,16.02,,10.47,0.22,4.64,7.69,2.79,3.49,0.19
FR01MI03b,48.01,1.05,16.02,,10.47,0.22,4.64,7.69,2.79,3.49,0.19
FR01MI03c,48.01,1.05,16.02,,10.47,0.22,4.64,7.69,2.79,3.49,0.19
FR01MI04a,48.62,0.75,16.8,,10.82,0.19,6.21,7.91,2.79,0.58,0.19
FR01MI04b,48.62,0.75,16.8,,10.82,0.19,6.21,7.91,2.79,0.58,0.19
FR01MI04c,48.62,0.75,16.8,,10.82,0.19,6.21,7.91,2.79,0.58,0.19
FR02MI01a,53.9,0.91,14.44,,9.7,0.2,5.7,5.22,3.91,1.15,0.3
FR02MI01b,53.9,0.91,14.44,,9.7,0.2,5.7,5.22,3.91,1.15,0.3
FR02MI01c,53.9,0.91,14.44,,9.7,0.2,5.7,5.22,3.91,1.15,0.3
FR02MI02a,48.08,1.09,15.15,,11.93,0.24,6.49,7.05,3.15,0.78,0.18
FR02MI02b,48.08,1.09,15.15,,11.93,0.24,6.49,7.05,3.15,0.78,0.18
FR02MI02c,48.08,1.09,15.15,,11.93,0.24,6.49,7.05,3.15,0.78,0.18
FR02MI03a,48.53,1.03,15.17,,11.97,0.23,6.41,7.29,3.37,0.72,0.18
FR02MI03b,48.53,1.03,15.17,,11.97,0.23,6.41,7.29,3.37,0.72,0.18
FR02MI03c,48.53,1.03,15.17,,11.97,0.23,6.41,7.29,3.37,0.72,0.18
FR02MI04a,50.3,1.09,15.39,,10.46,0.2,6.0,6.93,3.46,0.81,0.2
FR02MI04b,50.3,1.09,15.39,,10.46,0.2,6.0,6.93,3.46,0.81,0.2
FR02MI04c,50.3,1.09,15.39,,10.46,0.2,6.0,6.93,3.46,0.81,0.2
FR02MI05a,48.15,1.03,14.8,,12.98,0.26,6.87,6.69,3.29,0.72,0.19
FR02MI05b,48.15,1.03,14.8,,12.98,0.26,6.87,6.69,3.29,0.72,0.19
FR02MI05c,48.15,1.03,14.8,,12.98,0.26,6.87,6.69,3.29,0.72,0.19
FR02MI05d,48.15,1.03,14.8,,12.98,0.26,6.87,6.69,3.29,0.72,0.19
FR02MI06a,49.05,1.16,14.23,,13.55,0.24,6.38,6.59,3.45,0.74,0.19
FR02MI06b,49.05,1.16,14.23,,13.55,0.24,6.38,6.59,3.45,0.74,0.19
FR02MI06c,49.05,1.16,14.23,,13.55,0.24,6.38,6.59,3.45,0.74,0.19
FR02MI07a,44.66,1.06,15.83,,10.09,0.2,5.09,7.36,2.93,4.86,0.19
FR02MI07b,44.66,1.06,15.83,,10.09,0.2,5.09,7.36,2.93,4.86,0.19
FR02MI07c,44.66,1.06,15.83,,10.09,0.2,5.09,7.36,2.93,4.86,0.19
FR02MI08a,49.83,1.04,15.14,,11.54,0.24,6.36,7.03,3.06,0.76,0.19
FR02MI08b,49.83,1.04,15.14,,11.54,0.24,6.36,7.03,3.06,0.76,0.19
FR02MI08c,49.83,1.04,15.14,,11.54,0.24,6.36,7.03,3.06,0.76,0.19
FR02MI09a,48.04,0.76,17.83,,11.14,0.2,6.89,9.0,2.75,0.5,0.13
FR02MI09b,48.04,0.76,17.83,,11.14,0.2,6.89,9.0,2.75,0.5,0.13
FR02MI09c,48.04,0.76,17.83,,11.14,0.2,6.89,9.0,2.75,0.5,0.13
FR02MI10a,46.33,0.96,17.6,,11.15,0.2,6.38,8.97,2.45,0.49,0.14
FR02MI10b,46.33,0.96,17.6,,11.15,0.2,6.38,8.97,2.45,0.49,0.14
FR02MI10c,46.33,0.96,17.6,,11.15,0.2,6.38,8.97,2.45,0.49,0.14
FR04MI01a,48.0,1.02,15.05,,13.25,0.26,6.63,6.98,3.17,0.69,0.19
FR04MI01b,48.0,1.02,15.05,,13.25,0.26,6.63,6.98,3.17,0.69,0.19
FR04MI01c,48.0,1.02,15.05,,13.25,0.26,6.63,6.98,3.17,0.69,0.19
FR04MI02a,47.51,1.01,14.65,,13.36,0.28,6.87,7.19,3.05,0.67,0.18
FR04MI02b,47.51,1.01,14.65,,13.36,0.28,6.87,7.19,3.05,0.67,0.18
FR04MI02c,47.51,1.01,14.65,,13.36,0.28,6.87,7.19,3.05,0.67,0.18
FR04MI03a,48.0,0.61,19.12,,10.69,0.2,6.6,9.56,2.46,0.45,0.11
FR04MI03b,48.0,0.61,19.12,,10.69,0.2,6.6,9.56,2.46,0.45,0.11
FR04MI03c,48.0,0.61,19.12,,10.69,0.2,6.6,9.56,2.46,0.45,0.11
FR04MI04a,49.51,1.07,14.87,,12.18,0.23,6.42,7.32,3.02,0.72,0.18
FR04MI04b,49.51,1.07,14.87,,12.18,0.23,6.42,7.32,3.02,0.72,0.18
FR04MI04c,49.51,1.07,14.87,,12.18,0.23,6.42,7.32,3.02,0.72,0.18
FR04MI05a,48.89,0.93,14.94,,13.31,0.27,6.73,6.94,2.62,0.69,0.18
FR04MI05b,48.89,0.93,14.94,,13.31,0.27,6.73,6.94,2.62,0.69,0.18
FR04MI05c,48.89,0.93,14.94,,13.31,0.27,6.73,6.94,2.62,0.69,0.18
FR04MI07a,47.62,0.79,17.68,,11.06,0.21,6.49,8.53,2.63,0.56,0.15
FR04MI07b,47.62,0.79,17.68,,11.06,0.21,6.49,8.53,2.63,0.56,0.15
FR04MI07c,47.62,0.79,17.68,,11.06,0.21,6.49,8.53,2.63,0.56,0.15
FR04MI08a,48.88,1.0,14.98,,12.79,0.26,6.86,6.7,2.36,0.76,0.17
FR04MI08b,48.88,1.0,14.98,,12.79,0.26,6.86,6.7,2.36,0.76,0.17
FR04MI08c,48.88,1.0,14.98,,12.79,0.26,6.86,6.7,2.36,0.76,0.17
FR04MI08d,48.88,1.0,14.98,,12.79,0.26,6.86,6.7,2.36,0.76,0.17
FR06MI01a,49.41,0.93,15.66,,11.68,0.23,6.19,6.55,3.6,0.81,0.27
FR06MI01b,49.41,0.93,15.66,,11.68,0.23,6.19,6.55,3.6,0.81,0.27
FR06MI01c,49.41,0.93,15.66,,11.68,0.23,6.19,6.55,3.6,0.81,0.27
FR06MI02a,49.06,1.11,15.23,,12.05,0.24,5.93,6.78,3.46,0.79,0.2
FR06MI02b,49.06,1.11,15.23,,12.05,0.24,5.93,6.78,3.46,0.79,0.2
FR06MI02c,49.06,1.11,15.23,,12.05,0.24,5.93,6.78,3.46,0.79,0.2
FR06MI03a,48.1,0.98,15.9,,11.95,0.23,6.12,7.49,2.97,1.18,0.18
FR06MI03b,48.1,0.98,15.9,,11.95,0.23,6.12,7.49,2.97,1.18,0.18
FR06MI03c,48.1,0.98,15.9,,11.95,0.23,6.12,7.49,2.97,1.18,0.18
FR06MI04a,47.82,0.67,19.05,,10.26,0.19,6.19,9.34,2.71,0.5,0.12
FR06MI04b,47.82,0.67,19.05,,10.26,0.19,6.19,9.34,2.71,0.5,0.12
FR06MI04c,47.82,0.67,19.05,,10.26,0.19,6.19,9.34,2.71,0.5,0.12
FR06MI05a,48.81,1.25,15.46,,12.92,0.24,5.35,6.26,3.66,0.84,0.27
FR06MI05b,48.81,1.25,15.46,,12.92,0.24,5.35,6.26,3.66,0.84,0.27
FR06MI05c,48.81,1.25,15.46,,12.92,0.24,5.35,6.26,3.66,0.84,0.27
FR06MI06a,44.35,1.0,16.06,,14.79,0.27,5.59,8.21,2.91,0.51,0.15
FR06MI06b,44.35,1.0,16.06,,14.79,0.27,5.59,8.21,2.91,0.51,0.15
FR06MI06c,44.35,1.0,16.06,,14.79,0.27,5.59,8.21,2.91,0.51,0.15
FR06MI07a,48.05,0.93,15.79,,11.87,0.23,5.75,7.65,3.16,0.66,0.21
FR06MI07b,48.05,0.93,15.79,,11.87,0.23,5.75,7.65,3.16,0.66,0.21
FR06MI07c,48.05,0.93,15.79,,11.87,0.23,5.75,7.65,3.16,0.66,0.21
FR06MI08a,45.33,1.04,15.96,,13.8,0.22,6.03,8.84,2.75,0.44,0.15
FR06MI08b,45.33,1.04,15.96,,13.8,0.22,6.03,8.84,2.75,0.44,0.15
FR06MI08c,45.33,1.04,15.96,,13.8,0.22,6.03,8.84,2.75,0.44,0.15
CL05MI01a,47.41,0.89,17.04,0.0,12.29,0.21,6.1,8.24,2.75,0.31,0.23
CL05MI01b,47.41,0.89,17.04,0.0,12.29,0.21,6.1,8.24,2.75,0.31,0.23
CL05MI01c,47.41,0.89,17.04,0.0,12.29,0.21,6.1,8.24,2.75,0.31,0.23
CL05MI02a,46.09,1.02,17.49,0.0,12.05,0.2,6.92,8.32,2.57,0.27,0.22
CL05MI02b,46.09,1.02,17.49,0.0,12.05,0.2,6.92,8.32,2.57,0.27,0.22
CL05MI02c,46.09,1.02,17.49,0.0,12.05,0.2,6.92,8.32,2.57,0.27,0.22
CL05MI05a,47.22,1.16,16.78,0.0,11.59,0.2,6.88,7.72,2.79,0.29,0.25
CL05MI05b,47.22,1.16,16.78,0.0,11.59,0.2,6.88,7.72,2.79,0.29,0.25
CL05MI05c,47.22,1.16,16.78,0.0,11.59,0.2,6.88,7.72,2.79,0.29,0.25
FI45MI02a,45.33,1.36,16.57,0.0,10.74,0.2,5.23,12.28,2.42,0.29,0.38
FI45MI02b,45.33,1.36,16.57,0.0,10.74,0.2,5.23,12.28,2.42,0.29,0.38
FI45MI02c,45.33,1.36,16.57,0.0,10.74,0.2,5.23,12.28,2.42,0.29,0.38
FI45MI08a,45.0,1.31,16.31,0.0,10.8,0.2,5.66,12.55,2.32,0.26,0.18
FI45MI08b,45.0,1.31,16.31,0.0,10.8,0.2,5.66,12.55,2.32,0.26,0.18
FI45MI10a,49.99,1.78,14.86,0.0,11.95,0.23,4.31,8.41,3.62,0.94,0.27
FI45MI10b,49.99,1.78,14.86,0.0,11.95,0.23,4.31,8.41,3.62,0.94,0.27
SH01MI02a,53.42,1.47,16.53,0.0,8.45,0.2,3.43,6.35,4.4,0.7,0.53
SH01MI02b,53.42,1.47,16.53,0.0,8.45,0.2,3.43,6.35,4.4,0.7,0.53
SH01MI02c,53.42,1.47,16.53,0.0,8.45,0.2,3.43,6.35,4.4,0.7,0.53
SH01MI02d,53.42,1.47,16.53,0.0,8.45,0.2,3.43,6.35,4.4,0.7,0.53
SR1MI01a,47.07,0.65,16.77,2.85,6.8,0.18,6.25,9.98,2.13,0.27,0.2
SR1MI01b,47.07,0.65,16.77,2.85,6.8,0.18,6.25,9.98,2.13,0.27,0.2
SR02MI01a,46.74,0.53,15.25,9.67,0.16,11.36,8.8,2.0,0.23,0.18,0.0
SR02MI01b,46.74,0.53,15.25,9.67,0.16,11.36,8.8,2.0,0.23,0.18,0.0
SR02MI01c,46.74,0.53,15.25,9.67,0.16,11.36,8.8,2.0,0.23,0.18,0.0
SR3MI01a,47.97,0.59,16.45,3.07,7.85,0.19,7.28,9.48,2.25,0.27,0.2
SR3MI01b,47.97,0.59,16.45,3.07,7.85,0.19,7.28,9.48,2.25,0.27,0.2
SR10MI02a,47.6,0.55,15.61,9.92,0.18,10.93,9.06,2.01,0.26,0.04,0.0
SR10MI02b,47.6,0.55,15.61,9.92,0.18,10.93,9.06,2.01,0.26,0.04,0.0
SR10MI02c,47.6,0.55,15.61,9.92,0.18,10.93,9.06,2.01,0.26,0.04,0.0
SR10MI03a,47.04,0.54,15.57,9.69,0.17,10.96,9.03,1.88,0.25,0.04,0.0
SR10MI03b,47.04,0.54,15.57,9.69,0.17,10.96,9.03,1.88,0.25,0.04,0.0
SR10MI03c,47.04,0.54,15.57,9.69,0.17,10.96,9.03,1.88,0.25,0.04,0.0
SR10MI05a,46.99,0.6,15.48,10.21,0.19,10.75,9.02,1.98,0.25,0.04,0.0
SR10MI05b,46.99,0.6,15.48,10.21,0.19,10.75,9.02,1.98,0.25,0.04,0.0
SR10MI05c,46.99,0.6,15.48,10.21,0.19,10.75,9.02,1.98,0.25,0.04,0.0
SR10MI11a,46.65,0.58,14.95,12.34,0.24,10.04,8.95,1.97,0.23,0.06,0.0
SR10MI11b,46.65,0.58,14.95,12.34,0.24,10.04,8.95,1.97,0.23,0.06,0.0
SR10MI11c,46.65,0.58,14.95,12.34,0.24,10.04,8.95,1.97,0.23,0.06,0.0
WD12MI01a,44.99,1.29,16.16,0.0,10.6,0.18,6.52,11.97,2.36,0.28,0.38
WD12MI01b,44.99,1.29,16.16,0.0,10.6,0.18,6.52,11.97,2.36,0.28,0.38
WD12MI01c,44.99,1.29,16.16,0.0,10.6,0.18,6.52,11.97,2.36,0.28,0.38
WD23MI03Aa,45.49,1.19,16.2,0.0,10.49,0.19,6.35,12.07,2.43,0.25,0.39
WD23MI03Ab,45.49,1.19,16.2,0.0,10.49,0.19,6.35,12.07,2.43,0.25,0.39
WD23MI03Ac,45.49,1.19,16.2,0.0,10.49,0.19,6.35,12.07,2.43,0.25,0.39
WD23MI04a,45.22,1.34,16.42,0.0,10.61,0.2,6.32,11.81,2.4,0.29,0.37
WD23MI04b,45.22,1.34,16.42,0.0,10.61,0.2,6.32,11.81,2.4,0.29,0.37
WD23MI04c,45.22,1.34,16.42,0.0,10.61,0.2,6.32,11.81,2.4,0.29,0.37
WD23MI04d,45.22,1.34,16.42,0.0,10.61,0.2,6.32,11.81,2.4,0.29,0.37
WD32MI02a,47.96,1.52,16.97,0.0,9.99,0.19,5.7,10.05,2.98,0.61,0.3
WD32MI02b,47.96,1.52,16.97,0.0,9.99,0.19,5.7,10.05,2.98,0.61,0.3
WD32MI02c,47.96,1.52,16.97,0.0,9.99,0.19,5.7,10.05,2.98,0.61,0.3
WD32MI04a,46.2,1.87,16.9,0.0,9.83,0.18,3.92,11.48,3.0,0.55,0.42
WD32MI04b,46.2,1.87,16.9,0.0,9.83,0.18,3.92,11.48,3.0,0.55,0.42
WD32MI04c,46.2,1.87,16.9,0.0,9.83,0.18,3.92,11.48,3.0,0.55,0.42
WD33MI05a,43.94,1.27,16.76,0.0,10.74,0.19,6.01,11.87,2.4,0.27,0.35
WD33MI05b,43.94,1.27,16.76,0.0,10.74,0.19,6.01,11.87,2.4,0.27,0.35
WD33MI05c,43.94,1.27,16.76,0.0,10.74,0.19,6.01,11.87,2.4,0.27,0.35
WD71AMI01a,52.2,0.8,17.88,0.0,6.81,0.13,2.71,11.14,2.92,0.4,0.28
WD71AMI01b,52.2,0.8,17.88,0.0,6.81,0.13,2.71,11.14,2.92,0.4,0.28
WD71AMI01c,52.2,0.8,17.88,0.0,6.81,0.13,2.71,11.14,2.92,0.4,0.28
WD71AMI01d,52.2,0.8,17.88,0.0,6.81,0.13,2.71,11.14,2.92,0.4,0.28
ND70_02_01_06032022_150x150_sp1,47.93,0.76,15.67,,8.07,0.16,8.58,12.76,2.19,0.17,0.08
ND70_02_01_06032022_150x150_sp2,47.93,0.76,15.67,,8.07,0.16,8.58,12.76,2.19,0.17,0.08
ND70_02_01_06032022_150x150_sp3,47.93,0.76,15.67,,8.07,0.16,8.58,12.76,2.19,0.17,0.08
ND70_03_01_06032022_150x150_sp1,47.32,0.78,15.31,,8.11,0.15,8.69,12.88,2.12,0.16,0.08
ND70_03_01_06032022_150x150_sp2,47.32,0.78,15.31,,8.11,0.15,8.69,12.88,2.12,0.16,0.08
ND70_03_01_06032022_150x150_sp3,47.32,0.78,15.31,,8.11,0.15,8.69,12.88,2.12,0.16,0.08
ND70_04_02_06032022_150x150_sp1,47.54,0.76,15.26,,7.68,0.16,8.32,12.43,2.22,0.16,0.07
ND70_04_02_06032022_150x150_sp2,47.54,0.76,15.26,,7.68,0.16,8.32,12.43,2.22,0.16,0.07
ND70_04_02_06032022_150x150_sp3,47.54,0.76,15.26,,7.68,0.16,8.32,12.43,2.22,0.16,0.07
ND70_05_02_06032022_150x150_sp1,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07
ND70_05_02_06032022_150x150_sp2,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07
ND70_05_02_06032022_150x150_sp3,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07
ND70_05_03_06032022_150x50_sp1,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07
ND70_05_03_06032022_200x50_sp2,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07
ND70_05_03_06032022_80x100_sp3,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07
ND70_degassed_06032022_150x150_sp1,49.71,0.8,16.13,,8.28,0.14,8.72,13.03,2.22,0.16,0.09
ND70_degassed_06032022_150x150_sp2,49.71,0.8,16.13,,8.28,0.14,8.72,13.03,2.22,0.16,0.09
Villa_P2_150x150_06032022_sp1,50.6,1.29,15.42,,9.15,0.16,5.41,8.55,3.1,0.75,0.28
Villa_P2_150x150_06032022_sp2,50.6,1.29,15.42,,9.15,0.16,5.41,8.55,3.1,0.75,0.28
Villa_P2_150x150_06032022_sp3,50.6,1.29,15.42,,9.15,0.16,5.41,8.55,3.1,0.75,0.28
ND70_02-01_30June2022_150x150_sp1,47.93,0.76,15.67,,8.07,0.16,8.58,12.76,2.19,0.17,0.08
ND70_02-01_30June2022_150x150_sp2,47.93,0.76,15.67,,8.07,0.16,8.58,12.76,2.19,0.17,0.08
ND70_02-01_30June2022_150x150_sp3,47.93,0.76,15.67,,8.07,0.16,8.58,12.76,2.19,0.17,0.08
ND70_02-01_30June2022_150x150_sp4,47.93,0.76,15.67,,8.07,0.16,8.58,12.76,2.19,0.17,0.08
ND70_03-01_30June2022_150x150_sp1,47.32,0.78,15.31,,8.11,0.15,8.69,12.88,2.12,0.16,0.08
ND70_03-01_30June2022_150x150_sp2,47.32,0.78,15.31,,8.11,0.15,8.69,12.88,2.12,0.16,0.08
ND70_03-01_30June2022_150x150_sp3,47.32,0.78,15.31,,8.11,0.15,8.69,12.88,2.12,0.16,0.08
ND70_03-01_30June2022_150x150_sp4,47.54,0.76,15.26,,7.68,0.16,8.32,12.43,2.22,0.16,0.07
ND70_4_2_150x150_29June2022_256s_sp1,47.54,0.76,15.26,,7.68,0.16,8.32,12.43,2.22,0.16,0.07
ND70_4_2_150x150_29June2022_256s_sp2,47.54,0.76,15.26,,7.68,0.16,8.32,12.43,2.22,0.16,0.07
ND70_4_2_150x150_29June2022_256s_sp3,47.54,0.76,15.26,,7.68,0.16,8.32,12.43,2.22,0.16,0.07
ND70_5_2_29June2022_150x150_256s_sp1,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07
ND70_5_2_29June2022_150x150_sp2,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07
ND70_5_2_29June2022_150x150_sp3,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07
ND70_0503_29June2022_95x80_256s_sp2,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07
ND70_0503_29June2022_100x60_256s_sp1,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07
