Wavenumber,Average_1630_Peak,1630_Peak_PCA_1,1630_Peak_PCA_2,,Plus
1251.596,0,0,0,,0
1270.88,0,0,0,,0
1290.166,0,0,0,,0
1309.45,0,0,0,,0
1328.735,0,0,0,,0
1348.021,0,0,0,,0
1367.305,0,0,0,,0
1386.59,0,0,0,,0
1405.875,0,0,0,,0
1425.16,0,0,0,,0
1444.445,0,0,0,,0
1463.73,0,0,0,,0
1483.015,0,0,0,,0
1502.3,0,0,0,,0
1517.728,0.001745892,-0.000256963,-0.000570885,,0.001488929
1531.228,0.010737908,-0.000769177,0.014176625,,0.009968731
1540.87,0.016042879,-0.017847949,0.043238808,,-0.00180507
1550.513,0.027303804,-0.020182548,0.078677539,,0.007121256
1560.155,0.037683324,-0.025294395,0.116372148,,0.012388929
1567.869,0.055433661,-0.029082187,0.148947694,,0.026351474
1573.655,0.072004426,-0.027902148,0.170269291,,0.044102278
1579.44,0.092308742,-0.033327203,0.185215903,,0.058981539
1585.226,0.120634161,-0.043018772,0.190792967,,0.077615389
1590.047,0.153778563,-0.053033926,0.187355637,,0.100744637
1592.94,0.178662501,-0.058778854,0.182185312,,0.119883647
1595.8325,0.208906625,-0.062780725,0.175769305,,0.146125901
1598.725,0.244527252,-0.066140461,0.1685877,,0.178386791
1600.654,0.272706296,-0.068485666,0.163246296,,0.20422063
1602.582,0.303735327,-0.069582978,0.157481034,,0.234152349
1604.511,0.336633021,-0.069586159,0.151401926,,0.267046862
1606.439,0.374238643,-0.068692961,0.145004667,,0.305545682
1608.368,0.415941633,-0.067158642,0.138045136,,0.348782991
1610.296,0.459747978,-0.064111618,0.131096103,,0.39563636
1612.225,0.507274326,-0.059331557,0.124348577,,0.447942769
1614.153,0.557374645,-0.052331284,0.117623475,,0.505043361
1616.082,0.608994571,-0.045031126,0.110840841,,0.563963445
1618.01,0.662613357,-0.036870673,0.103773459,,0.625742684
1619.939,0.716524284,-0.028286455,0.096732319,,0.688237829
1621.867,0.768052146,-0.020269945,0.089736197,,0.747782201
1623.796,0.816713183,-0.012763931,0.082127209,,0.803949252
1625.724,0.861706948,-0.005604502,0.073663456,,0.856102446
1627.653,0.901505083,-0.000478912,0.064530378,,0.901026171
1629.581,0.934149698,0.002281472,0.054831566,,0.93643117
1631.51,0.959179718,0.001147375,0.044441651,,0.960327093
1633.438,0.979322357,-0.003999658,0.033027958,,0.975322699
1635.367,0.990880814,-0.012201427,0.02064063,,0.978679387
1639.224,0.987318424,-0.03442053,-0.005797985,,0.952897894
1643.081,0.959442485,-0.069316974,-0.03319861,,0.890125511
1645.009,0.935285487,-0.089713198,-0.046270391,,0.845572289
1646.938,0.905924537,-0.109660041,-0.058420381,,0.796264496
1648.866,0.872873863,-0.127033086,-0.069205566,,0.745840777
1650.795,0.835757008,-0.142665048,-0.078223073,,0.69309196
1652.723,0.796383315,-0.158326373,-0.085364341,,0.638056942
1654.652,0.756321957,-0.172650008,-0.090476064,,0.583671949
1656.58,0.716215762,-0.184069802,-0.093217779,,0.53214596
1658.509,0.674102162,-0.193384349,-0.093762178,,0.480717813
1660.437,0.631792973,-0.200869789,-0.092422717,,0.430923184
1662.366,0.589526073,-0.205985336,-0.089387148,,0.383540737
1664.294,0.547073501,-0.208845718,-0.085011905,,0.338227783
1666.223,0.506744413,-0.210032124,-0.079756873,,0.296712289
1668.151,0.468538983,-0.211509276,-0.073799016,,0.257029707
1670.08,0.428692236,-0.211384522,-0.067318212,,0.217307714
1672.008,0.392493106,-0.210446217,-0.060466966,,0.182046889
1673.937,0.356957878,-0.207564533,-0.053629079,,0.149393345
1675.865,0.323953715,-0.201827748,-0.046777964,,0.122125967
1677.794,0.292773405,-0.194314994,-0.039999059,,0.098458411
1679.722,0.262839964,-0.187519317,-0.033516708,,0.075320647
1683.579,0.212565842,-0.174564773,-0.021238722,,0.038001069
1686.472,0.178879298,-0.163192327,-0.012429525,,0.015686971
1691.293,0.131072685,-0.141779387,-0.000412942,,-0.010706702
1695.15,0.099140488,-0.125673513,0.006039614,,-0.026533025
1702.864,0.05375356,-0.091829594,0.011843121,,-0.038076034
1708.65,0.031387647,-0.067557353,0.010545606,,-0.036169706
1714.435,0.01802187,-0.043897497,0.009031418,,-0.025875627
1720.221,0.011204138,-0.020001136,0.007689467,,-0.008796998
1727.935,0.003569386,-0.003733787,0.003820041,,-0.000164401
1733.72,0.000588212,0.000784562,-0.000178853,,0.001372774
1739.506,-0.000881778,0.002555175,-0.003568269,,0.001673397
1745.291,-0.001015075,-4.25E-05,-0.002933998,,-0.001057575
1753.005,0,0,0,,0
1772.29,0,0,0,,0
1791.575,0,0,0,,0
1810.86,0,0,0,,0
1830.145,0,0,0,,0
1849.43,0,0,0,,0
1868.715,0,0,0,,0
1888,0,0,0,,0
1907.285,0,0,0,,0
1926.57,0,0,0,,0
1945.855,0,0,0,,0
1965.14,0,0,0,,0
1984.425,0,0,0,,0
2003.71,0,0,0,,0
2022.995,0,0,0,,0
2042.28,0,0,0,,0
2061.565,0,0,0,,0
2080.85,0,0,0,,0
2100.135,0,0,0,,0
2119.42,0,0,0,,0
2138.705,0,0,0,,0
2157.99,0,0,0,,0
2177.275,0,0,0,,0
2196.56,0,0,0,,0
2215.845,0,0,0,,0
2235.13,0,0,0,,0
2254.415,0,0,0,,0
2273.7,0,0,0,,0
2292.985,0,0,0,,0
2312.27,0,0,0,,0
2331.555,0,0,0,,0
2350.84,0,0,0,,0
2370.125,0,0,0,,0
2389.41,0,0,0,,0