,Density_F,Tau,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
21ALV1846-9_44x44_s1_EP_103um,2799.7565037561785,0.6595583965411587,0.7923637506632906,0.29076592785854016,0.6971745460663672,0.2701884656891454
21ALV1846-9_44x44_s2_EP_103um,2796.6758166512636,0.6595583965411587,0.7923637506632906,0.29076592785854016,0.6971745460663672,0.2701884656891454
21ALV1846-9_44x44_s3_EP_103um,2799.4194987021156,0.6595583965411587,0.7923637506632906,0.29076592785854016,0.6971745460663672,0.2701884656891454
23WOK5-4_44x44_s1_EP_147um,2809.8380676242723,0.6571068603683341,0.7809015246442361,0.29022804937738056,0.6885144406020682,0.26969349444769575
23WOK5-4_44x44_s2_EP_147um,2811.9043146890676,0.6571068603683341,0.7809015246442361,0.29022804937738056,0.6885144406020682,0.26969349444769575
23WOK5-4_44x44_s3_EP_147um,2810.8235465515213,0.6571068603683341,0.7809015246442361,0.29022804937738056,0.6885144406020682,0.26969349444769575
ALV1833-11_44x44_s1_EP_108um,2808.2620990016076,0.6569207364214361,0.7800312969190442,0.29018718386807707,0.6878569536649244,0.2696559106772271
ALV1833-11_44x44_s2_EP_108um,2808.3375872236934,0.6569207364214361,0.7800312969190442,0.29018718386807707,0.6878569536649244,0.2696559106772271
ALV1833-11_44x44_s3_EP_108um,2808.344541941624,0.6569207364214361,0.7800312969190442,0.29018718386807707,0.6878569536649244,0.2696559106772271
CD33_12-2-2_VG9764_44x44_s1_EP_105um,2905.6122772383906,0.6353455242696043,0.6791557883972144,0.2854218171054137,0.6116420420839113,0.2652944993411004
CD33_12-2-2_VG9764_44x44_s2_EP_105um,2905.6925077013825,0.6353455242696043,0.6791557883972144,0.2854218171054137,0.6116420420839113,0.2652944993411004
CD33_12-2-2_VG9764_44x44_s3_EP_105um,2905.590629026144,0.6353455242696043,0.6791557883972144,0.2854218171054137,0.6116420420839113,0.2652944993411004
CD33_22-1-1_VG9812_44x44_s1_EP_73um,2861.9393995872283,0.6452473155181327,0.7254518906298641,0.2876158784563096,0.6466203375087454,0.26729731974053944
CD33_22-1-1_VG9812_44x44_s2_EP_73um,2862.4394020279183,0.6452473155181327,0.7254518906298641,0.2876158784563096,0.6466203375087454,0.26729731974053944
CD33_22-1-1_VG9812_44x44_s3_EP_73um,2862.2048283794156,0.6452473155181327,0.7254518906298641,0.2876158784563096,0.6466203375087454,0.26729731974053944
ETFSR_Ol8_256s,2898.3541488469655,0.5393672870323273,0.23040685280368312,0.26347488661654633,0.2725968075220109,0.24576718375966317
ETFSR_Ol8_256s_2,2900.0665233629384,0.5393672870323273,0.23040685280368312,0.26347488661654633,0.2725968075220109,0.24576718375966317
ETFSR_Ol8_highres_256s,2897.281429168139,0.5393672870323273,0.23040685280368312,0.26347488661654633,0.2725968075220109,0.24576718375966317
Fiege63_256s,2879.8763522887557,0.5916736603105943,0.47496676564467233,0.27559511325170327,0.45737022186770115,0.25643591085994877
Fiege63_256s_2,2912.1227068812113,0.5916736603105943,0.47496676564467233,0.27559511325170327,0.45737022186770115,0.25643591085994877
Fiege63_256s_3,2912.1227068812113,0.5916736603105943,0.47496676564467233,0.27559511325170327,0.45737022186770115,0.25643591085994877
Fiege73_256s,2819.239781945304,0.5916736603105943,0.47496676564467233,0.27559511325170327,0.45737022186770115,0.25643591085994877
Fiege73_256s_2,2819.239781945304,0.5916736603105943,0.47496676564467233,0.27559511325170327,0.45737022186770115,0.25643591085994877
Fiege73_256s_2_highres,2819.239781945304,0.5916736603105943,0.47496676564467233,0.27559511325170327,0.45737022186770115,0.25643591085994877
Fiege73_2_256s,2819.239781945304,0.5916736603105943,0.47496676564467233,0.27559511325170327,0.45737022186770115,0.25643591085994877
STD_C1'_256s_20x50,2770.7662484383045,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_020320_256s_20x50_a,2772.994661546219,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_020320_256s_20x50_b,2772.687707236203,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_020320_256s_20x50_c,2771.7855498953227,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_020520_256s_20x50_a,2772.876142924787,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_020520_256s_20x50_b,2772.8344528224284,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_020520_256s_20x50_c,2772.8944811847427,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_021220_256s_20x50_a,2774.419069175485,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_021220_256s_20x50_b,2775.593266103954,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_021220_256s_20x50_c,2775.610589733798,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_021420_256s_20x50_a,2773.206912316397,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_021420_256s_20x50_b,2773.6611239241647,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_021420_256s_20x50_c,2773.486533521902,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_021720_256s_20x50_a,2774.1339794747114,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_021720_256s_20x50_b,2773.9927824714455,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_021720_256s_20x50_c,2774.264088808875,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_021920_256s_20x50_a,2772.9411344305904,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_021920_256s_20x50_b,2772.9907900057665,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_021920_256s_20x50_c,2772.646384724371,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_022120_256s_20x50_a,2774.248909011799,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_022120_256s_20x50_b,2774.2328628836026,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_C1_022120_256s_20x50_c,2774.4493261255016,0.6649906256198775,0.8177622898232548,0.2919552657680688,0.7163640147959813,0.27128482278819366
STD_CN92C_OL2_020320_256s_20x25_a,2717.3401673827693,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_020320_256s_20x25_b,2721.2860623948027,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_020320_256s_20x25_c,2715.2559814275196,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_020520_256s_20x25_a,2712.813497249832,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_020520_256s_20x25_b,2708.9539832493083,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_020520_256s_20x25_c,2709.7592848880495,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_021220_20x25_a,2741.323403539368,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_021220_20x25_b,2740.136955646604,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_021220_20x25_c,2739.353517135887,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_021420_256s_20x25_a,2726.433974806683,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_021420_256s_20x25_b,2727.0969966222174,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_021420_256s_20x25_c,2725.5328425223697,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_021720_256s_20x25_a,2726.420451017524,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_021720_256s_20x25_b,2725.9273631789592,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_021720_256s_20x25_c,2725.677382825846,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_021920_256s_20x25_a,2718.3330213448776,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_021920_256s_20x25_b,2717.9596738585487,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_021920_256s_20x25_c,2718.2803185651646,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_022120_256s_20x25_a,2719.666701613466,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_022120_256s_20x25_b,2720.853728326064,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_022120_256s_20x25_c,2720.4816813425255,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_D1010_012821_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_012821_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_012821_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_020320_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_020320_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_020320_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_020520_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_020520_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_020520_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021220_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021220_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021220_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021420_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021420_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021420_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021720_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021720_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021720_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021720_256s_50x50_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021720_256s_80x80_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021720_256s_80x80_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021720_256s_80x80_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021920_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021920_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021920_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_022120_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_022120_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_022120_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_030920_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_030920_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_030920_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_031020_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_031020_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_031020_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_ETF46_020320_256s_15x15_a,2861.935734013262,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_020320_256s_15x15_b,2863.0294579336764,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_020320_256s_15x15_c,2862.502076879423,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_020520_256s_15x15_a,2866.8455724973182,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_020520_256s_15x15_b,2867.436785060399,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_020520_256s_15x15_c,2865.659161419602,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021220_256s_15x20_a,2858.8946967510506,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021220_256s_15x20_b,2859.84119002363,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021220_256s_15x20_c,2858.544701652821,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021420_256s_15x20_a,2862.7593582381846,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021420_256s_15x20_b,2862.4523477026505,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021420_256s_15x20_c,2861.219600713169,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021720_256s_15x20_a,2866.591241671927,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021720_256s_15x20_b,2862.234694949338,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021720_256s_15x20_c,2861.210437622469,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021920_256s_15x20_a,2864.53058465051,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021920_256s_15x20_b,2864.080394743502,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021920_256s_15x20_c,2865.0371507905193,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_022120_256s_15x20_a,2861.355083208931,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_022120_256s_15x20_b,2866.2224254735675,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_022120_256s_15x20_c,2866.465383695451,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETFS_15x20_256s_2,2862.673347091087,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETFS_15x25_256s,2858.346024225524,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
